DOOR STYLE,MATERIAL,DESIGN,GLASS STYLE,"2'0"" X 6'8""","2'4"" X 6'8""","2'6"" X 6'8""","2'8"" X 6'8""","2'10"" X 6'8""","3'0"" X 6'8""","3'6"" X 6'8""",,"4'8"" X 6'8""","5'0"" X 6'8""","5'4"" X 6'8""","5'8"" X 6'8""","6'0"" X 6'8""",,"2'0"" X 8'0""","2'4"" X 8'0""","2'6"" X 8'0""","2'8"" X 8'0""","2'10"" X 8'0""","3'0"" X 8'0""","3'6"" X 8'0""",,"4'8"" X 8'0""","5'0"" X 8'0""","5'4"" X 8'0""","5'8"" X 8'0""","6'0"" X 8'0"""
CCA260XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA8214,FIBERGLASS,DOUGLAS FIR,HAZELTON,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8224,FIBERGLASS,DOUGLAS FIR,HAZELTON,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA234,FIBERGLASS,DOUGLAS FIR,HAZELTON,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8213,FIBERGLASS,DOUGLAS FIR,SAVANNAH,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8212,FIBERGLASS,DOUGLAS FIR,VILLAGER,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8222,FIBERGLASS,DOUGLAS FIR,VILLAGER,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8232,FIBERGLASS,DOUGLAS FIR,VILLAGER,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8211,FIBERGLASS,DOUGLAS FIR,HOMEWARD,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8221,FIBERGLASS,DOUGLAS FIR,HOMEWARD,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8231,FIBERGLASS,DOUGLAS FIR,HOMEWARD,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8210,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8220,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
CCA8230,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,0,0,0,0,1
