style,single,double
CCA211,539.52,1121.21
CCM110B,1290.11,2642.14
CCR200,417.58,898.46
CC37,1380.54,2803.57
CCV932,824.84,1692.68
FCM760,560.34,1161.47
FC903,535.23,1110.52
S770XN,243.24,516.45
950HD,527.13,1084.26
TS130,215.16,471.3
